x,By,Bz,B
0.0,0.00014392560861449375,0.9999999896427089,1.0
1.0067114093959732e-05,-0.0007046688023240321,0.9994853330131493,0.9994855814200247
2.0134228187919465e-05,-0.0016834209535359686,0.9984541656088065,0.9984555847546174
3.0201342281879195e-05,-0.002893265654178584,0.9967972147839703,0.9968014137165073
4.026845637583893e-05,-0.004452322995630041,0.9943369169479104,0.9943468849378126
5.033557046979866e-05,-0.006500583095895071,0.9908122201206018,0.9908335446082256
6.040268456375839e-05,-0.009200252553784994,0.9858591722893856,0.9859021007352439
7.046979865771813e-05,-0.012727434611177518,0.9789899565543952,0.9790726850577323
8.053691275167786e-05,-0.01724863273553555,0.9695767038871697,0.96973011712123
9.06040268456376e-05,-0.02287442933389428,0.9568528208485643,0.9571261987236624
0.0001006711409395,-0.029585924672115935,0.939953794767425,0.9404193018204086
0.0001107382550335,-0.037142858983858565,0.9180282498363381,0.9187793312167315
0.0001208053691275,-0.045010832161461074,0.8904468761034487,0.8915837673344323
0.0001308724832214,-0.0523807583706714,0.8570971616825496,0.8586962725037118
0.0001409395973154,-0.058353679334626304,0.8186500290398124,0.8207271300126345
0.0001510067114093,-0.062254768212126554,0.7765620867265562,0.7790534838547674
0.0001610738255033,-0.06385354032250454,0.7326641627441817,0.7354413980606136
0.0001711409395973,-0.06334264798892718,0.688697920848477,0.6916047406107507
0.0001812080536912,-0.061168868324578435,0.6460386279977258,0.6489279923976878
0.0001912751677852,-0.05785383622299311,0.605618333139175,0.6083754036776875
0.0002013422818791,-0.053873910715567595,0.5679715648651857,0.5705208994867739
0.0002114093959731,-0.049605677796482936,0.5333282881096875,0.5356302700255648
0.0002214765100671,-0.04531693575251475,0.501709132755931,0.503751604023954
0.000231543624161,-0.041180879984064465,0.47300382221268966,0.47479309251933605
0.000241610738255,-0.03729799947260821,0.4470286791677267,0.44858196660487965
0.0002516778523489,-0.03371741443023291,0.42356564357410903,0.4249055406231008
0.0002617449664429,-0.030454337960464064,0.4023871362655272,0.4035379463353869
0.0002718120805369,-0.02750303713096899,0.3832709326641727,0.3842564571698077
0.0002818791946308,-0.024845842429118498,0.36600836292099787,0.36685070207663595
0.0002919463087248,-0.022459098928800946,0.35040824422807515,0.3511272543504654
0.0003020134228187,-0.020316919452219966,0.33629819496245833,0.33691134316172205
0.0003120805369127,-0.018393435465573968,0.3235244186838956,0.3240468607361889
0.0003221476510067,-0.016664060046264844,0.3119506537710146,0.31239542455898617
0.0003322147651006,-0.015106122701398494,0.30145672106166704,0.3018349708306203
0.0003422818791946,-0.013699118274666364,0.2919369297962532,0.2922581680986282
0.0003523489932885,-0.012424728338127087,0.28329849223370157,0.2835708193311956
0.0003624161073825,-0.011266716071128748,0.27546002850196327,0.2756903447589878
0.0003724832214765,-0.01021075745510326,0.2683502011143377,0.26854439112726325
0.0003825503355704,-0.009244246778436369,0.26190649348401857,0.2620695850868526
0.0003926174496644,-0.008356098589436823,0.2560741323849276,0.25621043237996777
0.0004026845637583,-0.0075365582926589045,0.2508051465591894,0.25091835574838905
0.0004127516778523,-0.006777027470809521,0.24605754995853774,0.24615086023196914
0.0004228187919463,-0.006069906347092677,0.24179463678624805,0.24187081291808696
0.0004328859060402,-0.005408453675821525,0.23798437555293636,0.23804582411477898
0.0004429530201342,-0.004786663178390517,0.23459889014319207,0.23464771765521258
0.0004530201342281,-0.004199155053762366,0.23161401702878942,0.231652079177756
0.0004630872483221,-0.00364108085141188,0.2290089290339351,0.22903787251683094
0.0004731543624161,-0.003108039952203786,0.2267658173311494,0.22678711564418388
0.00048322147651,-0.002596005967429686,0.22486962455606072,0.22488460884410494
0.000493288590604,-0.0021012614821859024,0.22330782304465766,0.2233177089546646
0.0005033557046979,-0.0016203397032555366,0.22207023320822522,0.22207614454936295
0.0005134228187919,-0.0011499717038430646,0.22114887797238758,0.22115186787220534
0.0005234899328859,-0.0006870380772417793,0.2205378700273414,0.2205389401840783
0.0005335570469798,-0.0004570478255331923,0.22023332937995965,0.22023380363263126
